Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MovementID,MovementLabel,InitialOrientation
2024-11-23T13:14:49.444909,-0.244,-1.321,9.744,-0.98,-0.42,0.42,0,idle,upward
2024-11-23T13:14:49.504740,-0.388,-1.216,9.873,0.21,8.61,5.11,0,idle,upward
2024-11-23T13:14:49.564921,-0.703,-1.254,9.916,7.56,0.28,1.47,0,idle,upward
2024-11-23T13:14:49.625593,-0.498,-1.393,9.748,11.62,-15.4,4.06,0,idle,upward
2024-11-23T13:14:49.685148,-0.234,-0.708,9.308,7.0,-1.96,3.85,0,idle,upward
2024-11-23T13:14:49.714889,-0.33,-0.967,9.844,2.45,-5.67,5.25,0,idle,upward
2024-11-23T13:14:49.775964,-0.215,-0.909,9.638,29.54,-10.22,2.94,0,idle,upward
2024-11-23T13:14:49.834911,-0.354,-0.368,9.428,45.71,-7.0,3.22,0,idle,upward
2024-11-23T13:14:49.895192,-0.459,0.024,9.959,39.62,0.28,0.84,0,idle,upward
2024-11-23T13:14:49.954955,-0.249,0.22,9.887,50.54,-6.3,-0.49,0,idle,upward
2024-11-23T13:14:50.015634,-0.483,0.656,9.902,52.5,-13.09,-2.52,1,idle,upward
2024-11-23T13:14:50.044960,-0.249,1.278,9.748,66.99,-13.65,1.19,1,idle,upward
2024-11-23T13:14:50.105227,-0.1,1.981,9.404,80.92,-22.33,-6.3,1,idle,upward
2024-11-23T13:14:50.164485,0.091,2.713,9.351,54.46,-16.59,-5.88,1,idle,upward
2024-11-23T13:14:50.224919,0.287,3.331,9.217,40.32,-11.27,-5.39,1,idle,upward
2024-11-23T13:14:50.284898,0.215,3.465,9.126,19.88,-5.46,-4.97,1,idle,upward
2024-11-23T13:14:50.345082,0.139,3.436,9.26,-9.17,-2.8,-2.8,1,idle,upward
2024-11-23T13:14:50.374727,0.129,3.398,9.112,-14.63,0.84,0.14,1,idle,upward
2024-11-23T13:14:50.434900,0.086,3.235,9.485,-38.22,0.84,2.31,1,idle,upward
2024-11-23T13:14:50.494989,0.081,2.422,9.27,-98.77,24.92,6.72,1,idle,upward
2024-11-23T13:14:50.015634,-0.483,0.656,9.902,52.5,-13.09,-2.52,1,idle,upward
2024-11-23T13:14:50.044960,-0.249,1.278,9.748,66.99,-13.65,1.19,1,idle,upward
2024-11-23T13:14:50.105227,-0.1,1.981,9.404,80.92,-22.33,-6.3,1,idle,upward
2024-11-23T13:14:50.164485,0.091,2.713,9.351,54.46,-16.59,-5.88,1,idle,upward
2024-11-23T13:14:50.224919,0.287,3.331,9.217,40.32,-11.27,-5.39,1,idle,upward
